[14-Dec-2007 18:13:43] PHP Parse error:  syntax error, unexpected ';', expecting ')' in D:\Web\test\arraymultidimensionali.php on line 22
[27-Feb-2008 00:00:58] PHP Fatal error:  Cannot redeclare Animale::__construct() in D:\Web\test\phpoggetti5.php on line 15
[27-Feb-2008 00:58:50] PHP Catchable fatal error:  Object of class Mammifero could not be converted to string in D:\Web\test\phpoggetti6.php on line 57
[27-Feb-2008 01:00:31] PHP Warning:  Missing argument 2 for Mammifero::__construct(), called in D:\Web\test\phpoggetti6.php on line 52 and defined in D:\Web\test\phpoggetti6.php on line 33
[27-Feb-2008 01:00:31] PHP Notice:  Undefined variable: corna in D:\Web\test\phpoggetti6.php on line 35
[27-Feb-2008 01:00:31] PHP Warning:  Missing argument 2 for Mammifero::__construct(), called in D:\Web\test\phpoggetti6.php on line 53 and defined in D:\Web\test\phpoggetti6.php on line 33
[27-Feb-2008 01:00:31] PHP Notice:  Undefined variable: corna in D:\Web\test\phpoggetti6.php on line 35
[27-Feb-2008 01:00:31] PHP Warning:  Missing argument 2 for Mammifero::__construct(), called in D:\Web\test\phpoggetti6.php on line 55 and defined in D:\Web\test\phpoggetti6.php on line 33
[27-Feb-2008 01:00:31] PHP Notice:  Undefined variable: corna in D:\Web\test\phpoggetti6.php on line 35
[27-Feb-2008 01:00:31] PHP Warning:  Missing argument 2 for Mammifero::__construct(), called in D:\Web\test\phpoggetti6.php on line 74 and defined in D:\Web\test\phpoggetti6.php on line 33
[27-Feb-2008 01:00:31] PHP Notice:  Undefined variable: corna in D:\Web\test\phpoggetti6.php on line 35
[27-Feb-2008 01:01:03] PHP Fatal error:  Class MyFinalClass2 may not inherit from final class (MyFinalClass) in D:\Web\test\phpoggetti6.php on line 114
[27-Feb-2008 01:01:12] PHP Fatal error:  Cannot override final method MyClass::metodo() in D:\Web\test\phpoggetti6.php on line 124
[27-Feb-2008 22:00:13] PHP Fatal error:  Cannot instantiate abstract class Forma in D:\Web\test\phpoggetti7.php on line 30
[27-Feb-2008 22:01:11] PHP Fatal error:  Class Rettangolo contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Forma::colore) in D:\Web\test\phpoggetti7.php on line 21
[27-Feb-2008 22:01:29] PHP Fatal error:  Class Rettangolo contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Forma::colore) in D:\Web\test\phpoggetti7.php on line 21
[27-Feb-2008 22:03:16] PHP Fatal error:  Class Rettangolo contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (Forma::colore) in D:\Web\test\phpoggetti7.php on line 21
[27-Feb-2008 22:03:23] PHP Fatal error:  Cannot instantiate interface Forma in D:\Web\test\phpoggetti7.php on line 37
[28-May-2008 22:51:33] PHP Parse error:  syntax error, unexpected ';' in D:\Web\test\nullTrim.php on line 6
